dataset,model,fold,rmse,r2,fit_time_sec
California Housing,Decision Tree,8,0.7718297669328624,0.543465753965535,0.006844043731689453
California Housing,Decision Tree,9,0.7591117199708017,0.5629628863142273,0.006917715072631836
California Housing,Decision Tree,10,0.7547636119593677,0.5535395791260815,0.006875276565551758
California Housing,Decision Tree,11,0.7655077045764739,0.5796298738528463,0.006871223449707031
California Housing,Decision Tree,12,0.7299675913825329,0.6221857302218808,0.0068819522857666016
California Housing,Decision Tree,13,0.7564868646473618,0.5674827908257116,0.006855964660644531
California Housing,Decision Tree,14,0.7798476836465192,0.5417826283965894,0.00693511962890625
California Housing,Random Forest,0,0.6458574815655446,0.7042889381070425,0.2227630615234375
California Housing,Random Forest,1,0.5875299278171422,0.735397889845592,0.23207402229309082
California Housing,Random Forest,2,0.6000555976999103,0.7347796851563366,0.22494220733642578
California Housing,Random Forest,3,0.6279639956193902,0.6972768526259323,0.22991585731506348
California Housing,Random Forest,4,0.5935764921501784,0.7416118747274255,0.23412489891052246
California Housing,Random Forest,5,0.6272383022395042,0.6958061995443756,0.22851991653442383
California Housing,Random Forest,6,0.6214396229795833,0.7222881531181455,0.23140668869018555
California Housing,Random Forest,7,0.6201294016203246,0.7306432447773683,0.22345328330993652
California Housing,Random Forest,8,0.6101644441933616,0.7146853273422626,0.22485136985778809
California Housing,Random Forest,9,0.58813868435348,0.7376588502378625,0.237138032913208
California Housing,Random Forest,10,0.6098689596502852,0.7085029825357713,0.23624706268310547
California Housing,Random Forest,11,0.5989360183235142,0.7426681305097729,0.23319411277770996
California Housing,Random Forest,12,0.5861204429534131,0.7564181429754663,0.22967314720153809
California Housing,Random Forest,13,0.6140737357742017,0.7150021034786116,0.2293081283569336
California Housing,Random Forest,14,0.6547216096105003,0.6770276618615734,0.2286210060119629
California Housing,Gradient Boosting,0,0.7292692103263642,0.6229751833453052,0.4178018569946289
California Housing,Gradient Boosting,1,0.671117197525398,0.6547528903189275,0.4153330326080322
California Housing,Gradient Boosting,2,0.6953786472689127,0.6438224805595851,0.41544103622436523
California Housing,Gradient Boosting,3,0.6883804538631495,0.6362247043067115,0.41477489471435547
California Housing,Gradient Boosting,4,0.6922482710771026,0.648566688690469,0.4153890609741211
California Housing,Gradient Boosting,5,0.696057067432947,0.6253938418949948,0.4156928062438965
California Housing,Gradient Boosting,6,0.7057329358270319,0.6418398215050028,0.41840696334838867
California Housing,Gradient Boosting,7,0.7105167884448268,0.6464002781794697,0.4140048027038574
California Housing,Gradient Boosting,8,0.6847483401156486,0.6406709829024997,0.41535115242004395
California Housing,Gradient Boosting,9,0.6878329190612776,0.6411831411265756,0.4163930416107178
California Housing,Gradient Boosting,10,0.6830514016024197,0.6343481040034696,0.41556501388549805
California Housing,Gradient Boosting,11,0.7007618643778385,0.647731644732966,0.4160330295562744
California Housing,Gradient Boosting,12,0.681014611034097,0.6711604401276918,0.4142646789550781
California Housing,Gradient Boosting,13,0.7002128529862908,0.6294380989650724,0.41515016555786133
California Housing,Gradient Boosting,14,0.7186478542538194,0.6108793818518383,0.4147379398345947
California Housing,MLP,0,0.6118854049674479,0.734579556915518,0.24298906326293945
California Housing,MLP,1,0.5434300104794885,0.7736291235275066,0.6431269645690918
California Housing,MLP,2,0.5769965479939344,0.7547719000885382,0.37756896018981934
California Housing,MLP,3,0.5715728973801749,0.7492046981528244,0.6446118354797363
California Housing,MLP,4,0.5801850020594397,0.7531391835303569,0.44655609130859375
California Housing,MLP,5,0.5760587416719528,0.7434223870782535,0.4019310474395752
California Housing,MLP,6,0.5737265482355887,0.7632955519716393,0.5034170150756836
California Housing,MLP,7,0.5544355109404118,0.7846894533678308,0.5400116443634033
California Housing,MLP,8,0.5620901960012928,0.7578734946257918,0.23495793342590332
California Housing,MLP,9,0.5528811357169144,0.7681695542109067,0.5682709217071533
California Housing,MLP,10,0.5477790154359928,0.7648354587672327,0.469329833984375
California Housing,MLP,11,0.5885416546174576,0.7515224680652037,0.44085192680358887
California Housing,MLP,12,0.5548574350372272,0.7817099106340522,0.4119229316711426
California Housing,MLP,13,0.5664729361078841,0.7574736444873634,0.6597592830657959
California Housing,MLP,14,0.5934184336229953,0.7346775233717167,0.45794200897216797
