model,complexity_label,complexity,n_train,sigma,n_repeats,fit_time_sec,bias2,bias2_raw,bias2_mc_correction,bias2_ci_low,bias2_ci_high,variance,variance_ci_low,variance_ci_high,noise,expected_mse,empirical_mse,decomposition_gap
Random Forest,max_depth,1,160,0.35,50,2.407445832999656,0.3345788570476504,0.33487079117877305,0.00029193413112266686,0.33292174892864684,0.33623596516665394,0.014596706556133342,0.011721113877285447,0.017472299234981236,0.12249999999999998,0.4716755636037837,0.46833961711352434,-0.003335946490259367
Random Forest,max_depth,2,160,0.35,50,2.3872366250143386,0.15266852067847816,0.15308576655967437,0.0004172458811962185,0.14619542697870885,0.15914161437824748,0.020862294059810924,0.017999179064469937,0.02372540905515191,0.12249999999999998,0.29603081473828907,0.29191525970062926,-0.004115555037659813
Random Forest,max_depth,3,160,0.35,50,2.398048500006553,0.0495284402342919,0.05002640318666525,0.0004979629523733519,0.04747501118723391,0.05158186928134988,0.024898147618667595,0.022461209040050934,0.027335086197284256,0.12249999999999998,0.19692658785295947,0.19292225016222186,-0.004004337690737603
Random Forest,max_depth,4,160,0.35,50,2.3954185000038706,0.0077621797302915565,0.008273748478757994,0.0005115687484664379,0.006618609877483833,0.00890574958309928,0.025578437423321894,0.023100996051048144,0.028055878795595644,0.12249999999999998,0.15584061715361344,0.15365617838428616,-0.0021844387693272793
Random Forest,max_depth,6,160,0.35,50,2.4165395839954726,0.00036865504277692443,0.001101019778769669,0.0007323647359927445,-0.0002474055546292347,0.0009847156401830836,0.03661823679963722,0.03451458481689998,0.03872188878237447,0.12249999999999998,0.15948689184241413,0.1581179430692585,-0.0013689487731556316
Random Forest,max_depth,8,160,0.35,50,2.402550083003007,0.0002433458782787111,0.0012509140125761232,0.001007568134297412,-0.00044491375444282767,0.0009316055110002499,0.0503784067148706,0.048195920696018114,0.05256089273372309,0.12249999999999998,0.1731217525931493,0.17189443906273638,-0.0012273135304129157
Random Forest,max_depth,12,160,0.35,50,2.3773019170039333,0.0002334799183833084,0.001416782796963718,0.0011833028785804096,-0.0005353631172433869,0.0010023229540100037,0.05916514392902048,0.0567924419105335,0.06153784594750746,0.12249999999999998,0.18189862384740377,0.18063619610029782,-0.001262427747105943
MLP,hidden_width,2,160,0.35,50,4.462609083013376,0.24440452021193632,0.2467302272173823,0.0023257070054459963,0.18969669997482674,0.2991123404490459,0.11628535027229982,0.09820167286773343,0.1343690276768662,0.12249999999999998,0.4831898704842361,0.48346678853641467,0.00027691805217855414
MLP,hidden_width,4,160,0.35,50,4.699504082993371,0.08995019018899772,0.09071327922869356,0.000763089039695845,0.07584533976755282,0.10405504061044261,0.038154451984792254,0.02484848604673999,0.05146041792284452,0.12249999999999998,0.25060464217378997,0.24546234925754556,-0.005142292916244406
MLP,hidden_width,8,160,0.35,50,4.868823583004996,0.06321972264608264,0.06353510072648487,0.0003153780804022261,0.05539713879852704,0.07104230649363823,0.015768904020111305,0.010708380709278037,0.020829427330944575,0.12249999999999998,0.20148862666619394,0.19623141564510294,-0.005257211021091002
MLP,hidden_width,16,160,0.35,50,5.298420749983052,0.04236951016269559,0.042661764910931405,0.00029225474823581465,0.03402304149022486,0.05071597883516633,0.014612737411790732,0.01148439470135493,0.017741080122226537,0.12249999999999998,0.1794822475744863,0.1741446591430162,-0.005337588431470114
MLP,hidden_width,32,160,0.35,50,6.293741250003222,0.018649971545667807,0.01894820216664194,0.00029823062097413466,0.01252824196713136,0.024771701124204255,0.014911531048706734,0.011923608193805377,0.01789945390360809,0.12249999999999998,0.1560615025943745,0.15208849555734358,-0.0039730070370309345
MLP,hidden_width,64,160,0.35,50,7.789024875004543,0.00402557836039062,0.004217064003171854,0.0001914856427812332,0.0024806849531236854,0.005570471767657555,0.00957428213906166,0.00769010444379709,0.01145845983432623,0.12249999999999998,0.13609986049945227,0.13219769318355995,-0.0039021673158923242
MLP,hidden_width,128,160,0.35,50,10.572852457989939,0.001564366342836005,0.0017109579352447876,0.00014659159240878263,0.0010675427811332892,0.0020611899045387206,0.007329579620439131,0.006338689956117072,0.008320469284761189,0.12249999999999998,0.1313939459632751,0.12798113393382224,-0.003412812029452872
MLP,hidden_width,256,160,0.35,50,17.16812945800484,0.0014132652671546605,0.0015581614699558663,0.0001448962028012057,0.000881284356061494,0.001945246178247827,0.007244810140060285,0.006208306894764439,0.008281313385356131,0.12249999999999998,0.13115807540721494,0.12762042570916127,-0.0035376496980536742
